Month,Date,Location,Phase of the day ,Target,additional Target info 1 ,additional Target info 2,Images name ,Folder idenifier ,additional info 1 ,additional info 2,additional info 3,additional info 3,additional info 4
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_G Filter_-9.90C_10.000secs_00000213.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_L Filter_-10.00C_10.000secs_00000175.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_L Filter_-10.00C_10.000secs_00000180.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_L Filter_-10.00C_10.000secs_00000185.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_L Filter_-10.00C_10.000secs_00000190.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_L Filter_-10.00C_10.000secs_00000195.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_L Filter_-10.00C_10.000secs_00000216.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_L Filter_-10.00C_10.000secs_00000221.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_L Filter_-10.10C_10.000secs_00000200.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_L Filter_-10.10C_10.000secs_00000201.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_L Filter_-10.80C_10.000secs_00000155.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_L Filter_-11.00C_10.000secs_00000150.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_L Filter_-9.70C_10.000secs_00000165.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_L Filter_-9.80C_10.000secs_00000160.fit,,-,,,,
